device,model_name,quantization,seq_len,tokens_generated,latency_seconds,tokens_per_second,prefill_seconds,decode_seconds,before_timestamp,before_cpu_percent,before_ram_bytes,before_battery_percent,before_battery_power_plugged,before_temperature_celsius,after_timestamp,after_cpu_percent,after_ram_bytes,after_battery_percent,after_battery_power_plugged,after_temperature_celsius,delta_battery_percent,energy_percent_per_token,model_family,params_b,kv_quant,prefill_tokens,decode_tokens,repeat_idx,prompt_idx,prompt_char_len
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,66,24.9594118000241,2.644293083859303,3.749820599972736,21.209591200051364,1763570649.5522683,21.9,1718919168,75,False,,1763570674.5122526,63.8,5694595072,74,False,,1,0.015151515151515152,phi-3,3.8,0,256,128,0,0,248
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,69,21.651593499991577,3.186832414899478,1.468637999962084,20.182955500029493,1763570674.513153,0.0,5694595072,74,False,,1763570696.1652458,57.0,5695082496,74,False,,0,0.0,phi-3,3.8,0,256,128,0,1,154
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,60,22.49208140000701,2.667605497816725,2.062294000003021,20.42978740000399,1763570696.165889,0.0,5695082496,74,False,,1763570718.6585906,58.7,5695553536,73,False,,1,0.016666666666666666,phi-3,3.8,0,256,128,0,2,203
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,74,22.57006589998491,3.2786789514889927,2.1330134000163525,20.43705249996856,1763570718.6593022,100.0,5695553536,73,False,,1763570741.2298865,59.9,5695815680,73,False,,0,0.0,phi-3,3.8,0,256,128,0,3,209
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,69,22.17260389996227,3.1119484347130477,1.8559682999621145,20.316635600000154,1763570741.2305686,0.0,5695815680,73,False,,1763570763.4036515,58.2,5695909888,72,False,,1,0.014492753623188406,phi-3,3.8,0,256,128,0,4,199
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,73,22.170566499989945,3.2926537984508926,2.0144242999958806,20.156142199994065,1763570763.404335,0.0,5695909888,72,False,,1763570785.5757067,58.0,5696012288,72,False,,0,0.0,phi-3,3.8,0,256,128,0,5,199
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,60,23.208111400017515,2.5853029988452536,3.005237900011707,20.202873500005808,1763570785.5764678,0.0,5696012288,72,False,,1763570808.7850597,59.2,5696360448,72,False,,0,0.0,phi-3,3.8,0,256,128,0,6,256
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,44,22.663743899960537,1.9414268090135194,2.4227827999857254,20.24096109997481,1763570808.7856984,0.0,5696360448,72,False,,1763570831.4499123,58.2,5696507904,71,False,,1,0.022727272727272728,phi-3,3.8,0,256,128,0,7,240
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,47,22.38399689999642,2.099714372280293,2.220227799960412,20.163769100036006,1763570831.4506183,0.0,5696507904,71,False,,1763570853.8351429,57.8,5696557056,71,False,,0,0.0,phi-3,3.8,0,256,128,0,8,222
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,59,22.539415100007318,2.6176366927986896,2.3416788000031374,20.19773630000418,1763570853.8357732,0.0,5696557056,71,False,,1763570876.3756514,59.0,5696724992,70,False,,1,0.01694915254237288,phi-3,3.8,0,256,128,0,9,213
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,64,23.74113210005453,2.6957433929552588,2.0958459000103176,21.64528620004421,1763570876.376248,0.0,5696724992,70,False,,1763570900.117925,64.6,5696802816,70,False,,0,0.0,phi-3,3.8,0,256,128,0,10,210
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,55,24.18374120001681,2.2742552339239293,2.269478700007312,21.9142625000095,1763570900.118588,0.0,5696802816,70,False,,1763570924.3028011,67.7,5696946176,69,False,,1,0.01818181818181818,phi-3,3.8,0,256,128,0,11,211
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,69,24.73656290001236,2.7893931860665058,2.0600485000177287,22.67651439999463,1763570924.303421,0.0,5696946176,69,False,,1763570949.0406888,68.3,5697126400,69,False,,0,0.0,phi-3,3.8,0,256,128,0,12,210
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,66,26.975121499970555,2.446698896243045,3.0880413000122644,23.88708019995829,1763570949.041604,0.0,5697126400,69,False,,1763570976.0172927,71.0,5697253376,68,False,,1,0.015151515151515152,phi-3,3.8,0,256,128,0,13,187
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,61,26.312699800007977,2.3182721827724233,2.9354903000057675,23.37720950000221,1763570976.0181115,0.0,5697253376,68,False,,1763571002.3315017,65.5,5697380352,68,False,,0,0.0,phi-3,3.8,0,256,128,0,14,253
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,57,27.504741099954117,2.0723699886088034,2.850303899962455,24.654437199991662,1763571002.3324866,0.0,5697380352,68,False,,1763571029.8377523,65.7,5697441792,67,False,,1,0.017543859649122806,phi-3,3.8,0,256,128,0,15,240
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,68,26.768701300024986,2.540280129314175,3.3591230000020005,23.409578300022986,1763571029.8384328,0.0,5697441792,67,False,,1763571056.6076102,72.0,5697445888,67,False,,0,0.0,phi-3,3.8,0,256,128,0,16,244
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,59,25.390966499981005,2.323661054810345,3.6321248000022024,21.758841699978802,1763571056.6084464,0.0,5697445888,67,False,,1763571081.9999933,71.4,5697470464,66,False,,1,0.01694915254237288,phi-3,3.8,0,256,128,0,17,237
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,74,26.176562700013164,2.826956344423433,3.4207103000371717,22.755852399975993,1763571082.000722,0.0,5697470464,66,False,,1763571108.1778343,70.2,5697646592,66,False,,0,0.0,phi-3,3.8,0,256,128,0,18,246
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,56,27.94419010001002,2.003994383074996,2.853766500018537,25.09042359999148,1763571108.1786366,0.0,5697646592,66,False,,1763571136.1236856,75.4,5697835008,65,False,,1,0.017857142857142856,phi-3,3.8,0,256,128,0,19,238
device,model_name,quantization,seq_len,tokens_generated,latency_seconds,tokens_per_second,prefill_seconds,decode_seconds,before_timestamp,before_cpu_percent,before_ram_bytes,before_battery_percent,before_battery_power_plugged,before_temperature_celsius,after_timestamp,after_cpu_percent,after_ram_bytes,after_battery_percent,after_battery_power_plugged,after_temperature_celsius,delta_battery_percent,energy_percent_per_token,model_family,params_b,kv_quant,prefill_tokens,decode_tokens,repeat_idx,prompt_idx,prompt_char_len
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,181,63.43343890004326,2.8533846365355506,5.566058400028851,57.867380500014406,1763571138.3838859,41.2,1720315904,65,False,,1763571201.81786,67.4,5695647744,64,False,,1,0.0055248618784530384,phi-3,3.8,0,256,512,0,0,248
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,265,94.43993249995401,2.8060164062498565,1.4178265999653377,93.02210589998867,1763571201.8186007,0.0,5695647744,64,False,,1763571296.2590652,62.6,5696630784,62,False,,2,0.007547169811320755,phi-3,3.8,0,256,512,0,1,154
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,131,50.11086840002099,2.614203349147011,2.243662699998822,47.86720570002217,1763571296.2597175,0.0,5696630784,62,False,,1763571346.3711991,64.7,5697744896,61,False,,1,0.007633587786259542,phi-3,3.8,0,256,512,0,2,203
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,256,97.82881600002293,2.6168158878662093,3.5326422000071034,94.29617380001582,1763571346.3721347,0.0,5697744896,61,False,,1763571444.2015688,71.5,5698252800,58,False,,3,0.01171875,phi-3,3.8,0,256,512,0,3,209
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,157,51.972614000027534,3.020821696594226,2.2411396999959834,49.73147430003155,1763571444.202435,0.0,5698252800,58,False,,1763571496.175608,60.0,5698441216,57,False,,1,0.006369426751592357,phi-3,3.8,0,256,512,0,4,199
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,203,65.27310310001485,3.1100099483389476,1.899271200003568,63.37383190001128,1763571496.1762915,0.0,5698441216,57,False,,1763571561.450074,63.1,5698691072,56,False,,1,0.0049261083743842365,phi-3,3.8,0,256,512,0,5,199
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,225,97.79946120001841,2.300626171547432,3.5143098999978974,94.28515130002052,1763571561.450772,0.0,5698691072,56,False,,1763571659.2507775,65.6,5699129344,54,False,,2,0.008888888888888889,phi-3,3.8,0,256,512,0,6,256
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,230,89.84589529997902,2.5599388734685324,3.130713199963793,86.71518210001523,1763571659.2514362,0.0,5699129344,54,False,,1763571749.0977242,67.5,5699280896,55,True,,-1,-0.004347826086956522,phi-3,3.8,0,256,512,0,7,240
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,245,81.40671030001249,3.0095799117430055,2.0182324000052176,79.38847790000727,1763571749.0981958,0.0,5699280896,55,True,,1763571830.5053174,62.9,5699493888,56,True,,-1,-0.004081632653061225,phi-3,3.8,0,256,512,0,8,222
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,193,51.864988399960566,3.7212000996060524,1.9700512000126764,49.89493719994789,1763571830.5058417,0.0,5699493888,56,True,,1763571882.3712935,59.7,5699751936,57,True,,-1,-0.0051813471502590676,phi-3,3.8,0,256,512,0,9,213
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,157,45.631497299997136,3.440605925504221,2.0989889999618754,43.53250830003526,1763571882.3718283,0.0,5699751936,57,True,,1763571928.0039494,59.8,5699915776,58,True,,-1,-0.006369426751592357,phi-3,3.8,0,256,512,0,10,210
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,270,91.80429770000046,2.941038783198476,3.0055970000103116,88.79870069999015,1763571928.0047433,0.0,5699915776,58,True,,1763572019.8095412,69.8,5700141056,60,True,,-2,-0.007407407407407408,phi-3,3.8,0,256,512,0,11,211
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,149,44.3401078999741,3.360388755393332,2.4496455999906175,41.89046229998348,1763572019.810184,0.0,5700141056,60,True,,1763572064.1507125,66.0,5700251648,60,True,,0,0.0,phi-3,3.8,0,256,512,0,12,210
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,274,86.28819089999888,3.1754055467166316,2.399545499996748,83.88864540000213,1763572064.1512506,0.0,5700251648,60,True,,1763572150.4399028,63.5,5700399104,62,True,,-2,-0.0072992700729927005,phi-3,3.8,0,256,512,0,13,187
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,159,49.3659556999919,3.220843144742888,3.338066899974365,46.027888800017536,1763572150.4405327,85.7,5700399104,62,True,,1763572199.8069448,63.2,5700587520,63,True,,-1,-0.006289308176100629,phi-3,3.8,0,256,512,0,14,253
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,202,65.43221470003482,3.0871643413881342,3.3811129999812692,62.05110170005355,1763572199.8075283,0.0,5700587520,63,True,,1763572265.2401552,67.1,5655179264,64,True,,-1,-0.0049504950495049506,phi-3,3.8,0,256,512,0,15,240
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,160,48.62498439999763,3.2904894875402326,3.1785155999823473,45.44646880001528,1763572265.240656,0.0,5655179264,64,True,,1763572313.8660214,62.7,5655257088,65,True,,-1,-0.00625,phi-3,3.8,0,256,512,0,16,244
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,249,90.16702719999012,2.761541638139172,3.410182299965527,86.75684490002459,1763572313.8666832,0.0,5655257088,65,True,,1763572404.0342615,66.9,5655674880,66,True,,-1,-0.004016064257028112,phi-3,3.8,0,256,512,0,17,237
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,143,39.82573969999794,3.5906426616856386,3.0226633999845944,36.803076300013345,1763572404.0348449,44.4,5655674880,66,True,,1763572443.8609428,59.2,5655785472,66,True,,0,0.0,phi-3,3.8,0,256,512,0,18,246
galaxy_s6_sim,phi-3-mini-3.8b,int8,256,251,83.68415159999859,2.9993731811938957,2.4675242999801412,81.21662730001844,1763572443.8614287,0.0,5655785472,66,True,,1763572527.5460172,58.9,5656100864,68,True,,-2,-0.00796812749003984,phi-3,3.8,0,256,512,0,19,238
device,model_name,quantization,seq_len,tokens_generated,latency_seconds,tokens_per_second,prefill_seconds,decode_seconds,before_timestamp,before_cpu_percent,before_ram_bytes,before_battery_percent,before_battery_power_plugged,before_temperature_celsius,after_timestamp,after_cpu_percent,after_ram_bytes,after_battery_percent,after_battery_power_plugged,after_temperature_celsius,delta_battery_percent,energy_percent_per_token,model_family,params_b,kv_quant,prefill_tokens,decode_tokens,repeat_idx,prompt_idx,prompt_char_len
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,66,24.188595500017982,2.72855858869321,4.213452600000892,19.97514290001709,1763572528.9756656,25.0,1675780096,68,True,,1763572553.1646702,67.6,5645709312,69,True,,-1,-0.015151515151515152,phi-3,3.8,0,1024,128,0,0,248
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,69,21.247566499980167,3.247430711656528,1.829999300010968,19.4175671999692,1763572553.1653373,0.0,5645709312,69,True,,1763572574.4133053,66.9,5646098432,69,True,,0,0.0,phi-3,3.8,0,1024,128,0,1,154
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,60,22.95328640000662,2.6140047640403554,2.6757725999923423,20.277513800014276,1763572574.4138157,0.0,5646098432,69,True,,1763572597.367461,68.4,5646483456,70,True,,-1,-0.016666666666666666,phi-3,3.8,0,1024,128,0,2,203
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,74,22.359030099993106,3.309624776614206,2.4531208999687806,19.905909200024325,1763572597.367997,0.0,5646483456,70,True,,1763572619.7274249,64.6,5646745600,70,True,,0,0.0,phi-3,3.8,0,1024,128,0,3,209
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,69,22.315570100035984,3.0920115278564513,2.5025606999988668,19.813009400037117,1763572619.7279642,0.0,5646745600,70,True,,1763572642.0440097,67.6,5646852096,70,True,,0,0.0,phi-3,3.8,0,1024,128,0,4,199
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,73,22.537310099985916,3.239073326680881,2.468689600005746,20.06862049998017,1763572642.0445573,0.0,5646852096,70,True,,1763572664.582335,68.8,5646979072,71,True,,-1,-0.0136986301369863,phi-3,3.8,0,1024,128,0,5,199
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,46,24.312816599966027,1.8920062104225421,4.25512719998369,20.057689399982337,1763572664.58298,0.0,5646979072,71,True,,1763572688.8961291,68.0,5647441920,71,True,,0,0.0,phi-3,3.8,0,1024,128,0,6,296
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,44,22.88456400000723,1.9226933928033805,2.5889324999880046,20.295631500019226,1763572688.8966143,0.0,5647441920,71,True,,1763572711.7818112,66.8,5647556608,72,True,,-1,-0.022727272727272728,phi-3,3.8,0,1024,128,0,7,240
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,47,23.766171799972653,1.977600784660409,2.8606794999795966,20.905492299993057,1763572711.7825854,0.0,5647556608,72,True,,1763572735.549243,72.0,5647601664,72,True,,0,0.0,phi-3,3.8,0,1024,128,0,8,222
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,59,21.46337750001112,2.748868392216902,2.4791858000098728,18.984191700001247,1763572735.54984,100.0,5647601664,72,True,,1763572757.0136075,62.5,5647785984,72,True,,0,0.0,phi-3,3.8,0,1024,128,0,9,213
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,64,22.494891999987885,2.8450903431781076,2.2057560000102967,20.28913599997759,1763572757.0141263,0.0,5647785984,72,True,,1763572779.5094008,64.1,5647863808,73,True,,-1,-0.015625,phi-3,3.8,0,1024,128,0,10,210
galaxy_s6_sim,phi-3-mini-3.8b,int8,1024,55,22.647559300006833,2.4285177608513164,2.274088700010907,20.373470599995926,1763572779.5098968,0.0,5647863808,73,True,,1763572802.1578465,61.2,5648003072,73,True,,0,0.0,phi-3,3.8,0,1024,128,0,11,211
